编号,网站名称,首页网址,列表页,注册资本,省份,市,区,主体,描述页,状态,设置完成,是否需手工添加,备注,利息管理费,利息管理费时段,利息管理费是否分段,电话,办公所在省,办公所在市,办公所在区,办公地址,注册地址,上线时间,倒闭时间,倒闭原因,更新频率,信用代码,房屋编码
1,全民贷1,http://www.qmdai.com,http://www.qmdai.com/invest/index2.html?type=success,2000,浙江省,杭州市,拱墅区,杭州全民代电子商务有限公司,,已经处理，存在问题?,是?,是?,是全民贷的老网站 2016-10-12 全民贷一审被判非吸 待收6千余万初步返还不足1% http://finance.sina.com.cn/money/?,,,,,,,,,杭州市拱墅区半山路205号209室?,,,,1天?,,
2,非诚勿扰（非诚勿贷）,http://www.zjrrd.com,http://www.zjrrd.com/invest/index2.html?type=success,500,浙江省,绍兴市,,绍兴县众人投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2013-04-26?,2014-01-26?,提现困难 2014-01-26?,1天?,,
3,爱贷网,http://www.cnaidai.com,,15000,浙江省,杭州市,西湖区,浙江爱贷金融服务外包股份有限公司,,正常?,是?,否?,2018-07-16 爱贷网老平台将全面清盘?,,,,400-888-6365?,,,,浙江省杭州市西湖区华星路96号互联网金融大厦11层?,杭州市西湖区华星路96号3幢第11层1108室?,2012-08-28?,,,1天?,91330100092043197H?,
4,联邦贷,http://www.lbdai.com,,100,浙江省,温州市,瑞安市,温州来邦网络科技有限公司,,问题平台?,是?,否?,,,,,,,,,,瑞安市东山街道飞云江农场一分场 ?,2012-09-24?,2013-01-09?,终止运营 2013-01-09?,1天?,330381000159561?,
5,义乌贷,http://www.15dai.cn,,600,浙江省,金华市,,义乌市德融投资合伙企业(有限合伙),,问题平台?,是?,否?,http://www.yiwudai.com/?,,,,,,,,,,2012-09-06?,2015-11-29?,平台失联 问题发生时间：2015-11-29 ?,1天?,,
6,51帮你,https://www.51bangni.com/,,5500,浙江省,杭州市,滨江区,杭州慧信行网络科技有限公司,,预警平台?,是?,否?,2018-07-14 官网发布平台暂停运营公告 老站http://www.51bangni.com。2014-06-18 杭州慧信行企业管理有限公司更名为?,,,,400-687-5180|service@51bangni.com?,浙江?,杭州?,拱墅区?,浙江省杭州市滨江区滨康路352号中控信息大厦B座21层?,浙江省杭州市拱墅区和睦院18幢A区501室-1?,2012-08-15?,,,1天?,91330108596617916X?,
7,财团网,http://www.ctw1688.com,http://www.ctw1688.com/invest?isajax=1&p=(*),1000,浙江省,杭州市,,浙江财米互联网金融信息服务有限公司,,问题平台?,是?,否?,财团网 平台失联 问题发生时间：2016-08-17?,,,,,,,,,嘉兴市水晶大厦1幢1001-1室?,2012-09-06?,2016-08-17?,平台失联 问题发生时间：2016-08-17?,1天?,91330401MA28A09Q2T?,
8,三信贷,http://new.sxrong.com/,http://www.sxrong.com/invest/index2.html?type=success,5000,浙江省,温州市,,温州三信融民间融资信息服务有限公司,,预警平台?,是?,否?,2018年12月15日，温州市公安局鹿城区分局对温州三信融民间融资信息服务有限公司（下称“三信贷”）以涉嫌非法吸收公众存款罪立案侦查。 截至目前，“三信贷”公?,,,,,,,,浙江省温州市鹿城区市府路525号同人恒玖大厦1501室?,温州市鹿城区市府路525号恒玖大厦1501、1502室?,2012-09-03?,,,1天?,,
9,智邦创投,http://www.zbp2p.com,,12,浙江省,台州市,,台州智邦商务有限公司,,问题平台?,是?,否?,,,,,,,,,,台州市黄岩西城街道西街83号?,2015-04-18?,2015-08-21?,平台失联 问题发生时间：2015-08-21 ?,1天?,,
10,甬商贷,http://old.ysdai.cn/,http://www.ysdai.cn/invest/index2.html?type=success,2000,浙江省,宁波市,,宁波甬商普惠信息咨询有限公司,,问题平台?,是?,否?,原网址http://www.ysdai.cn打开是保利网网站，2016-10-31 甬商贷和保利网合并运营，2016-11-1 将不再发标，只进行提现?,,,,,,,,,,2012-09-29?,,,1天?,,
11,淘贷宝,http://www.taodbo.com,http://www.taodbo.com/invest/index2.html?type=success,500,浙江省,温州市,,温州六步电子商务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2013-01-24?,2014-10-28?,提现困难 问题发生时间：2014-10-28 ?,1天?,,
12,广融贷,http://www.grdai.com,http://www.grdai.com/invest/index2.html?type=success,500,浙江省,金华市,,义乌市广融投资管理有限公司,,问题平台?,是?,否?,之前的主体应该少写了义乌几个字?,,,,,浙江?,金华?,,义乌市稠州北路福田大厦A座23A05和23A07?,义乌市稠城街道稠州北路1121号福田大厦23A07室?,2012-11-17?,2014-01-02?,提现困难 问题发生时间：2014-01-02?,5小时?,,
13,好想贷,http://www.hxdai.cn,http://www.hxdai.cn/invest/index.html?type=success&page=2,108,浙江省,湖州市,,湖州金钥匙投资咨询有限公司,,问题平台?,是?,否?,暂停营业公告 2013-11-24 服务器不存在，打不开?,,,,,,,,,,2013-01-17?,2013-11-24?,暂停营业公告 2013-11-24?,1天?,,
14,掌存宝,https://www.wzdai.com/,http://new.wzdai.com/invest/index.html?status=10,5000,上海市,上海市,,上海融斗金融信息服务有限公司,,正常?,是?,否?,2016-1-21 http://www.wzdai.com 温州贷新站 2018年3月23日“温州贷 ”更名为“掌存宝”的公告，本次更名为品牌战略升级，原主?,0.1?,,,400-0577-985?,,,,上海市长宁区临虹路168号6号楼5楼?,浦东新区南汇新城镇环湖西二路888号2幢2区23030室?,2012-02-14?,,,1天?,91310115MA1H76FA6H?,
15,中联乐银,http://www.zlleyin.com,http://www.zlleyin.com/invest/index2.html?type=success,500,浙江省,杭州市,拱墅区,杭州乐银投资有限公司,,问题平台?,是?,否?,提现困难 问题发生时间：2013-11-08 2014-08-08杭州P2P网贷平台“中联乐银”非法集资2亿多元 http://www.haodai.com?,,,,,,,,,拱墅区湖墅南路481号七层727室?,2013-04-18?,2013-11-08?,提现困难 问题发生时间：2013-11-08?,1天?,,
16,大家网,http://www.dajiawang.com.cn,http://www.dajiawang.com.cn/invest/index2.html?type=success,500,浙江省,嘉兴市,,嘉兴智轩电子商务有限公司,,问题平台?,是?,否?,法人被捕，拖欠资金2000多万，具体情况不详?,,,,,,,,,,2012-02-04?,2014-03-18?,警方介入 问题发生时间：2014-03-18?,1天?,,
18,E速贷,http://www.esudai.com,http://www.esudai.com/invest/index2.html?type=success,9250,广东省,惠州市,,广东汇融投资股份公司,,问题平台?,是?,否?,,,,,,,,,,惠州市江北18号小区中信城市时代2单元12楼02号?,2010-09-02?,2016-05-20?,经侦介入?,6小时?,914413005608595423?,
19,雅堂金融,http://jr.yatang.cn,http://www.itbt.com.cn/invest/index2.html?type=success,3000,四川省,成都市,,成都雅堂金融信息服务股份有限公司,,预警平台?,是?,否?,原名煜隆创投，2016-08-08晚接口数据覆盖我们采集数据原来网址http://www.itbt.com.cn雅堂金融平台主动退出P2P业务https://m?,,,,4000-050-828?,,,,四川省成都市天府新区成都科学城天府菁蓉中心C区?,四川省成都市天府新区兴隆街道宝塘村成都科学城天府菁蓉中心C区 ?,2013-10-28?,2014-08-03?,主动退出P2P业务公告?,1小时?,,
20,工商贷,http://www.gsdai.com,越晟通创投,10000,广东省,深圳市,福田区,深圳市越晟通电子商务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,福田区?,广东省深圳市福田区滨河大道5022号联合广场群楼B301室?,深圳市福田区彩田南路中深花园A座3011?,2012-09-21?,,,1天?,914403005977578226?,
21,汉贷邦,http://www.handaibang.com/,http://www.966915.com/invest/index2.html?type=success,200,江西省,鹰潭市,,鹰潭汉贷邦项目投资有限公司,,问题平台?,是?,否?,2014-8-30改网址，原来网址：http://www.966915.com?,,,,,,,,,,2014-10-14?,2014-12-18?,网站打不开?,1天?,,
22,钱贷网,http://www.moneydai.com,http://www.moneydai.com/invest/index2.html?type=success,5000,广东省,深圳市,福田区,深圳市感融互联网金融服务有限公司,,问题平台?,是?,否?,,,,,400-016-5288|service@moneydai.com?,广东?,深圳?,福田区?,深圳市福田区沙头街道天安社区泰然九路1号盛唐商务大厦东座1203、1206?,深圳市福田区沙头街道天安社区泰然九路1号盛唐商务大厦东座1203、1206?,2012-12-24?,2018-09-28?,非法吸收公众存款立案侦查?,1天?,914403000578898409?,4403040040102900002000052?
23,易网贷,http://www.ewdai.com,http://www.ewdai.com/invest/index2.html?type=success,500,山东省,莱芜市,,莱芜万方商务咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2012-08-24?,,,1天?,,
24,票宝宝,http://www.sdp2p.com,http://www.sdp2p.com/invest/index2.html?type=success,2000,山东省,临沂市,,山东大美投资发展有限公司,,正常?,是?,否?,原名山东贷?,,,,4008-322-668?,,,,山东省青岛市李沧区滨河路997号?,,2013-03-15?,,,1天?,,
25,齐鲁人贷,http://new.qilurendai.com,http://www.qilurendai.com/invest/index2.html?type=success,1000,山东省,青岛市,,青岛儒梦投资集团股份有限公司,,问题平台?,是?,否?,旧版 http://www.qilurendai.com?,,,,,,,,,青岛市市北区延吉路60号?,2013-01-23?,2016-11-10?,网站打不开?,1天?,91370200057281579E?,
26,起点贷,http://www.qdp2p.com,http://www.qdp2p.com/invest/index2.html?type=success,500,湖北省,宜昌市,,起点卓越金融服务（湖北）有限公司,,问题平台?,是?,否?,,,,,,,,,,宜昌市东山开发区发展大道18号?,2013-01-18?,2015-06-11?,跑路?,1天?,914205000707581673?,
27,开心贷,http://www.kxloan.com,http://www.kxloan.com/invest/index2.html?type=success,10000,广东省,深圳市,福田区,开心贷（深圳）金融服务有限公司,,问题平台?,是?,否?,,,,,400-0731-830|service@kxloan.com?,湖南?,长沙?,,湖南省长沙市开福区中山路589号万达广场写字楼A座13001-13003?,深圳市福田区沙头街道泰然九路盛唐商务大厦东座1403?,2012-05-25?,2016-06-21?,提现困难?,1天?,9144030034270485XG?,
29,满满贷,http://www.mmdai.com,http://www.mmdai001.com/,5000,湖南省,长沙市,芙蓉区,湖南满满网络科技有限公司,,预警平台?,是?,否?,"自融,关于平台暂停发标的通知2017-06-26 原列表网址http://www.mmdai168.com/invest/index2.html?type=su?",,,,400-001-5885?,,,,湖南省长沙市开福区湘江中路万达广场A座24F?,湖南省长沙市芙蓉区芙蓉中路二段98号明城国际中心第1栋N单元2216房?,2013-01-08?,2017-06-26?,暂停发标公告?,1天?,,
30,苏州贷,http://www.0512szd.com,http://www.0512szd.com/invest/index2.html?type=success,500,江苏省,苏州市,,苏州中亮电子商务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2012-10-01?,,网站打不开?,1天?,,
31,紫金贷,http://www.zijindai777.com,http://www.zijindai.com/invest/index2.html?type=success,1000,江苏省,南京市,,南京安铎尔金融信息服务有限公司,,问题平台?,是?,否?,2015-09-11 http://www.zijindai.com.cn/更改为 http://www.zijindai777.com 2015-03-1?,,,,,,,,,,2015-09-10?,,,1天?,,
32,川信贷,http://www.chuanxindai.com,http://www.chuanxindai.com/invest/index2.html?type=success,500,四川省,成都市,,四川川信电子商务有限公司,,预警平台?,是?,否?,提现困难 问题发生时间：2013-10-13?,,,,,,,,,,2013-07-01?,2015-03-04?,停业?,1天?,,
33,上网贷,http://www.swdai.com,http://www.swdai.com/invest/index2.html?type=success,3000,上海市,上海市,,上海中佑金融信息服务有限公司,,问题平台?,是?,否?,问题发生时间：2016-03-29 平台失联 2016-09-10发布公告暂停经营上网贷平台qq群:135135909?,,,,4006786378?,,,,上海市黄浦区汉口路130号宝京大厦4楼?,上海市虹口区汶水东路51号101室?,2014-03-14?,2016-09-10?,暂停经营?,1天?,913101095574116401?,
34,广信贷,http://www.guangxindai.com,http://www.guangxindai.com/invest/index2.html?type=success,1000,北京市,北京市,,广信联合(北京)商务顾问有限公司,,正常?,是?,否?,,,,,,,,,,,2013-01-21?,,,1天?,,
35,惠人贷,http://www.huirendai.com,http://www.huirendai.com/invest/index2.html?type=success,125.0313,北京市,北京市,,惠人贷商务顾问（北京）有限公司,,问题平台?,是?,否?,,,,,400-022-0898?,北京?,北京?,朝阳区?,北京市朝阳区东三环中路甲10号万科大都会1001室?,北京市西城区新街口外大街28号C座323号?,2015-08-22?,,,1天?,,
36,合力贷,http://www.helloan.cn,http://www.helloan.cn/invest/index2.html?type=success,5000,北京市,北京市,,合力金融信息服务（北京）有限公司,,问题平台?,是?,否?,,,,,,,,,,,2012-09-17?,2018-07-13?,兑付公告?,1天?,,
37,中原贷,http://www.zhongyuandai.com,http://www.zhongyuandai.com/invest/index2.html?type=success,501,河南省,郑州市,,郑州树诚科技有限公司,,问题平台?,是?,否?,,,,,,,,,,,2013-04-27?,,跑路?,6小时?,,
38,晋商贷,http://www.jinshangdai.com,http://old.jinshangdai.com/index.html,20000,山西省,太原市,,山西新晋商电子商务股份有限公司,,正常?,是?,否?,,,,,,,,,,,2012-08-08?,,,1天?,,
39,龙城易贷,http://www.lcyidai.com/index.jsp,http://www.lcydai.com/invest/index2.html?type=success,1000,山西省,太原市,,山西正时投资有限公司,,正常?,是?,否?,2015-11-04 又更改回https://www.lcydai.com 2015-05-18 https://www.lcydai.com/更改为http:?,,,,,,,,,,2013-01-26?,,,1天?,,
41,网借宝,http://www.wangjiebao.com,http://www.wangjiebao.com/borrow_success/index2.html,200,甘肃省,平凉市,,甘肃网借宝电子商务有限公司,,问题平台?,是?,否?,提现困难?,,,,,,,,中国.甘肃省.静宁县.西关.1号?,甘肃省兰州市城关区庆阳路285号新胜利宾馆西楼三层306室?,2011-12-06?,,,1天?,,
42,开鑫金服,http://www.kxjf.com/,http://www.gkkxd.com/,14024.225,江苏省,南京市,,开鑫贷融资服务江苏有限公司,,正常?,是?,否?,开金中心 标的信息跟开鑫贷一样?,,,,025-58588436?,,,,无锡市滨湖区金融八街1号无锡商会大厦23楼?,,2012-12-28?,,,3小时?,,
43,人人聚财,http://www.rrjc.com,http://www.renrenmoney.com/borrow_success/index2.html,5376.8946,广东省,深圳市,南山区,深圳市人人聚财金融信息服务有限公司,,正常?,是?,否?,定投宝不采 2015-05-18 http://www.renrenmoney.com 更改为http://www.rrjc.com 之前地址：深圳市南?,,,,400 9690 900?,广东?,深圳?,南山区?,深圳市南山区粤海街道创业路海信南方大厦23层?,深圳市南山区粤海街道创业路1777号海信南方大厦23层?,2011-11-09?,,,1天?,91440300584050916X?,44030500700423T0009000001?
44,微贷网,http://www.weidai.com.cn/,http://www.weidai.com.cn/borrow_success/index.html,12809.979,浙江省,杭州市,上城区,微贷（杭州）金融信息服务有限公司,,正常?,是?,否?,变换运营主体杭州锐拓科技有限公司?,,,,400-028-8888?,,,,浙江财富金融中心25，41，42，50层（杭州市江干区解放东路33号）?,浙江省杭州市上城区白云路22号283?,2011-07-08?,,,1天?,,
45,阿拉贷,http://www.aladai.com.cn,http://www.aladai.com.cn/borrow_success/index2.html,7000,浙江省,宁波市,海曙区,宁波未来财富投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,海曙区灵桥路2号南苑饭店主楼801室?,2013-02-20?,2013-11-20?,提现困难 问题发生时间：2013-11-20?,1天?,91330203799546265U?,
46,红岭创投,http://www.my089.com,http://www.my089.com/Loan/Succeed.aspx,6000,广东省,深圳市,福田区,红岭创投电子商务股份有限公司,,正常?,是?,否?,2013年6月13日从罗湖变更到福田.2017/07/12注册地址由前海移到福田?,,,,1010-1089|hlma@my089.net?,广东?,深圳?,福田区?,深圳市福田区益田创新科技园（福田区益田花园二期19栋7-13楼）?,深圳市福田区福保街道益田路1006号益田创新科技园19栋13层?,2009-03-17?,,,1小时?,914403005627980859?,
47,人人贷,https://www.renrendai.com/,http://www.renrendai.com/,10000,北京市,北京市,,人人贷商务顾问（北京）有限公司,,正常?,是?,否?,2015-10-14 http://www.renrendai.com 2017-05-15 https://www.we.com使用新站?,,,,,,,,,,2010-10-13?,,,1天?,,
48,安心贷,http://www.anxin.com,http://www.anxin.com/,5000,北京市,北京市,,君安信科技有限公司,,正常?,否?,否?,20170516变换运营主体，原来主体君安信（北京）投资担保有限公司 ?,,,,4000-515858?,,,,北京市石景山区阜石路165号今鼎时代广场 C座3层（邮编：100043）?,北京市石景山区阜石路165号院3号楼3层301室?,2011-07-01?,,,1小时?,,
51,温州贷老站,http://www.wzdai.com http://old.cnwzdai.com/,http://www.wzdai.com/invest/index.html?type=success,500,浙江省,温州市,,温州网诚电子商务有限公司,http://www.wzdai.com/invest/a108789.html,已经处理，存在问题?,是?,否?,网站打不开?,,,,,,,,,,,,,6小时?,,
52,一起好,https://www.yiqihao.com/,,2010,湖北省,武汉市,,武汉一起好金融信息服务股份有限公司,,正常?,是?,否?,非投资人禁止访问三个月前的标 2017-06-20--"非投资人禁止访问7天前的标"?,,,,400-900-1717?,,,,武汉市武汉中央商务区淮海路中段泛海国际SOHO城一期2号楼7楼?,,2012-09-28?,,,1天?,,
53,友友贷,http://www.yydai.net/index.html,http://www.youyoudai.com/invest/index.html?status=12,3000,福建省,厦门市,,厦门友友贷金融信息技术服务股份有限公司,http://www.youyoudai.com/invest/detail.html?borrowid=344,问题平台?,是?,否?,原来网址http://www.youyoudai.com 网站打不开?,10%?,投资通知盈不收?,是?,,,,,,,2012-12-30?,,,1天?,,
54,365易贷,http://www.365edai.cn,,4500.39,江苏省,南京市,,江苏三六五易贷金融信息服务股份有限公司,,正常?,是?,否?,,,,,,,,,,,2010-02-01?,,,6小时?,,
56,投哪网,http://www.touna.cn,,10000,广东省,深圳市,福田区,深圳投哪金融服务有限公司,,正常?,是?,否?,融信财富(投哪网) 2015-1-19http://www.rxdai.com改为http://www.touna.cn 深圳旺金金融信息服务有限公司改为深?,,,,,广东?,深圳?,福田区?,深圳市福田区香蜜湖香梅路1061号中投国际商务中心A座3、4、5层?,深圳市福田区香蜜湖中投国际商务中心A座3层ABCD?,2012-05-04?,,,1天?,91440300083884082F?,
57,中宝投资,http://www.zbicc.com,,1000,浙江省,衢州市,,浙江省衢州市中宝投资有限公司,,问题平台?,是?,否?,诈骗 http://www.p2peye.com/article-8853-1.html?,,,,,,,,,,2011-02-21?,2014-03-14?,警方介入 问题发生时间：2014-03-14?,1天?,,
58,808信贷,http://www.js808.cn,http://www.js808.cn/lend/SucceedLoan.aspx?page=2,2500,江苏省,淮安市,,江苏捌零捌投资有限公司,http://www.js808.cn/Lend/Detail.aspx?id=412443360,问题平台?,是?,否?,,,,,,,,,,,2011-05-01?,,,1天?,,
59,陆金服,https://www.lup2p.com/,,10000,上海市,上海市,,上海陆金所互联网金融信息服务有限公司,,正常?,是?,否?,"又叫 安e贷/陆金所http://www.lufax.com/,算上海剔除陆金所后的贷款余额，等会在移回来?",,,,400-169-1691?,,,,上海市浦东新区陆家嘴环路1333号14楼10单元?,中国（上海）自由贸易试验区陆家嘴环路1333号14楼10单元?,2012-01-22?,,,1天?,,
60,紫枫信贷,http://www.zfxindai.cn,http://www.zfxindai.cn/full_success/index2.html,500,江苏省,南京市,,南京亚菲帝诺投资管理有限公司,http://www.zfxindai.cn/invest/a7113644696011388.html,问题平台?,是?,否?,,,,,,,,,,,2011-12-01?,,网站打不开?,1天?,,
61,捞财宝,https://www.laocaibao.com/index,,1000,上海市,上海市,,上海证大爱特金融信息服务有限公司,,正常?,是?,否?,2016-07-29证大E贷:http://www.onlinecredit.cn/ 单条内容需要及时采，部分完标打不开？?,,,,400-096-6588?,,,,,中国（上海）自由贸易试验区罗山路1502弄14号301-8室 ?,2012-07-31?,,,1天?,,
62,麦子金服财富,http://www.nonobank.com/,,10800,上海市,上海市,,上海诺诺镑客金融信息服务有限公司,,正常?,否?,否?,"2016-10-18债转及APP功能优化 2017-08-23品牌更名,诺诺镑客正式启用新名称麦子金服财富,贴心计划不采?",,,,1010-0668?,,,,上海市徐汇区肇嘉浜路1033号徐家汇国际大厦19-20层?,上海市徐汇区肇嘉浜路1033号1701-A室 ?,2009-06-01?,,,1小时?,,
63,四达投资,http://www.sidatz.com/,https://www.sidatz.com/,1000,四川省,宜宾市,,宜宾四达投资有限责任公司,,预警平台?,是?,否?,2016-10-24 15:50公告：由于能力不足，资金实力不足，也无财团背景支撑，如若继续运营，势必造成更大的损失，公司于今年6月份作出痛苦的决定“清盘退出”?,,,,,,,,,,2012-09-10?,2016-06-10?,提现困难 问题发生时间：2016-06-08?,1天?,,
64,深圳融易贷,http://www.rydcn.com,,2000,广东省,深圳市,罗湖区,深圳融奕达投资管理有限公司,,问题平台?,是?,否?,新站 瑞资所 ?,,,,,广东?,深圳?,罗湖区?,深圳市罗湖区东门街道深南东路百货广场大厦西座1611-1612?,深圳市罗湖区东门街道深南东路百货广场大厦西座1611-1612?,2012-11-13?,2015-11-13?,非法吸收公众存款?,1天?,914403000539782806?,
65,速可贷,http://www.sukedai.com,,1000,北京市,北京市,,英财金汇（北京）资产管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2012-10-01?,,,1天?,,
66,徽州贷,http://www.huizhoudai.com/,,500,安徽省,黄山市,,安徽徽立房地产投资管理有限公司,,问题平台?,是?,否?,徽州贷=江城贷？?,,,,,,,,,,2013-02-05?,,,6小时?,,
67,银通贷,http://www.91yt.com/,,5000,广东省,深圳市,前海,深圳亿网银通电子商务控股有限公司,,问题平台?,是?,否?,,,,,4008606668@b.qq.com?,广东?,深圳?,福田区?,深圳市福田区梅林龙尾路阳光天下花园A栋15楼?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2013-01-08?,2015-01-04?,提现困难?,1天?,91440300063884544R?,4403050020060100017000001?
68,酷贷网,http://www.51kudai.com,,1000,北京市,北京市,,北京易融恒信投资咨询有限责任公司,,问题平台?,是?,否?,,,,,,,,,,,2013-03-18?,,,1天?,,
69,丰达财富,http://www.fdmoney.com,,500,浙江省,温州市,,温州丰达资产管理有限公司,,转型?,是?,否?,资讯类和众筹?,,,,,,,,,,2013-04-22?,2015-12-28?,平台失联 问题发生时间：2015-12-28?,1天?,,
70,宏信创投,http://www.hxdai.net,,1000,浙江省,温州市,,温州申鼎投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2012-12-16?,2017-04-11?,关于宏信创投暂停营运的通知?,1天?,,
71,蜜蜂聚财,https://www.beejc.cn,http://www.sfdai.com/invest/index.html?search=select&status=12,1061.7285,浙江省,杭州市,拱墅区,杭州商富信息科技有限公司,,预警平台?,是?,否?,2018-10-11平台发布停运公告 “商富贷”更名为“蜜蜂聚财”，主体“杭州商富商务信息咨询有限公司”更改为"杭州商富信息科技有限公司" 2017?,,,,400-051-1113?,浙江?,杭州?,拱墅区?,杭州市拱墅区祥园路108号中国智慧信息产业园三期5号楼7楼?,拱墅区祥园路108号5幢701室?,2012-12-24?,,,1天?,913301053112266993?,
72,温商贷,http://www.wsloan.com,,10000,新疆省,吐鲁番市,,鄯善温商贷互联网金融服务有限公司,,正常?,是?,否?,2017年1月6日 主体变更，由浙江温商贷互联网金融服务有限公司变更为鄯善温商贷互联网金融服务有限公司 地址更为新疆吐鲁番市鄯善县石材工业园区石材大道南侧（鄯善?,,,,0577-96088?,,,,新疆吐鲁番市鄯善县石材工业园区石材大道南侧（鄯善天玖石材交易中心内）?,新疆吐鲁番市鄯善县石材工业园区石材大道南侧（鄯善天玖石材交易中心内）?,2013-03-27?,,,1天?,,
74,鼎信贷,http://www.dingxindai.com/,,10000,浙江省,温州市,,温州众人通民间融资信息服务有限公司,,预警平台?,是?,否?,2018-10-09 国庆前就已经没有发布新标了，目前是不发新标不回款，客服回复准备展期计划 股宝理财 20150400083 不属于P2P借贷不采?,,,,400-050-8808?,,,,温州市龙湾区富春江路151号汇金锦园1-10号?,温州市龙湾区蒲州街道富春江路151号汇金锦园1幢203室东首?,2012-12-24?,,,1天?,,
75,涌金贷,http://www.yongjindai.com,,1000,浙江省,杭州市,富阳市,浙江涌润投资管理有限公司,,问题平台?,是?,否?,提现困难 问题发生时间：2014-12-24 ?,,,,,,,,,富阳市富春街道体育场路236号1层110-112号?,2013-02-18?,2014-12-24?,提现困难 问题发生时间：2014-12-24 ?,1天?,,
76,浙商E贷,http://www.zsloan.com,,5000,浙江省,嘉兴市,,嘉兴市鼎赞科技有限公司,,预警平台?,是?,否?,10月26日， 嘉兴市公安局秀洲区分局发布关于浙商E贷最新通报，追回赃款30万。 2018-08-19 官网发布逾期兑付公告?,,,,,,,,,,2012-10-20?,2018-08-19?,展期兑付公告?,1天?,,
77,中贷信创,http://www.zdvci.com,,2000,广东省,深圳市,福田区,深圳中创金融信息服务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,龙岗区?,深圳市龙岗区坂田创意产业园Y1-1层03B?,深圳市福田区天安数码城创新科技广场一期A座1104?,2012-12-12?,2014-01-23?,平台诈骗 问题发生时间：2014-01-05?,1天?,91440300066320795P?,
78,中融资本,http://www.zhongrongziben.com,,1080,浙江省,杭州市,西湖区,浙江环鼎投资管理有限公司,,问题平台?,是?,否?,提现困难 问题发生时间：2014-11-21 理财宝不采?,,,,,,,,,西湖区万塘路262号6号楼6-103室?,2012-11-01?,2014-11-21?,提现困难 问题发生时间：2014-11-21 ?,1天?,,
79,圈圈金服,https://www.ssp2p.com/,,5050.505,广东省,广州市,海珠区,广州市圈圈贷互联网金融信息服务有限公司,,正常?,是?,否?,2018-3-14 原名圈圈贷?,,,,400-888-2792/020-38928499?,,,,广州市海珠区新港东路1226号广州地铁万胜广场C塔1301单元?,广州市海珠区琶洲新港东路1226号自编1301房?,2012-04-17?,,,1天?,91440101347525316D?,
80,哈哈贷,http://www.hahadai.com/,,1098,上海市,上海市,,喜哈（上海）网络技术有限公司,,问题平台?,是?,否?,,,,,,,,,,,2016-03-01?,,,1天?,,
81,中财在线,http://www.955198.com,,501,湖北省,武汉市,,湖北中财时代投资顾问有限公司,,问题平台?,是?,否?,,,,,,,,,,,2012-09-12?,2013-08-19?,提现困难?,1天?,,
82,飞速贷,http://www.feisudai.com,,1000,湖北省,武汉市,,武汉慧明昊金融信息投资有限公司,,预警平台?,是?,否?,,5~10%、VIP暂无?,,,027-51113386?,,,,湖北省武汉市武昌中北路124号德成中心1016-1018室?,,2012-08-20?,2016-05-09?,失联?,1天?,,
83,点点贷,http://www.dddai.cn/,,500,湖南省,长沙市,芙蓉区,长沙点点贷金融信息服务有限公司,,问题平台?,否?,否?,要登录，要转几弯?,,,,,,,,,湖南省长沙市芙蓉区晚报大道湘湖二村9栋106号房?,2011-11-29?,,提现困难?,1小时?,,
84,热贷网,http://www.redaiwang.com,http://www.redaiwang.com/borrowalist.aspx,1000,上海市,上海市,,上海百银金融信息服务有限公司,,问题平台?,是?,否?,标 2015-01-24 止?,,,,,,,,,,2011-12-14?,2015-01-27?,失联?,1天?,,
85,合拍在线,http://www.he-pai.cn,http://www.he-pai.cn/p2p/default.aspx?page=(*)&key=&hkfs=-1&jkmd=0&jefw=&qx=0&jl,10000,广东省,深圳市,福田区,深圳市合拍在线互联网金融服务有限公司,,问题平台?,是?,否?,2017-09-14 2017/09/07注册地址由前海变更到福田 体验http://new.he-pai.cn/ 关于“合拍在线”平台案情通报https:/?,,,,1010-1588?,广东?,深圳?,福田区?,深圳市福田区滨河路5022号联合广场A座2楼?,深圳市福田区福田街道滨河路与彩田路交汇处联合广场A座裙楼A201H?,2012-06-08?,2018-10-03?,涉嫌非法吸收公众存款?,1天?,91440300068588146D?,
